userId,username,xp,level
753757823535677561,HIDEO_KOJIMA,101,7
901153009050984508,.domiknow,20,1
1136174583767105556,MINECRAFT #java-changelogs,20,1
1007075904314429500,dtblocker,30,1
1107049444836388874,dreamguy_dev,136,3
563434444321587202,Maki,104,4
508391840525975553,Tickets,110,1
99742488666845184,ovyerus,1186,19
1060341119424151653,Carl-bot Logging,80,2
844411348573880330,liefgrief,496,13
947523937649193041,Hile,10,1
168497908314800129,Uzume,30,1
492131441375838210,cake,100,1
880242090389413938,emma,20,1
964527861870518323,Alman,60,1
755588579262201886,AFK Bot,110,1
466547527613939722,Rosalina,0,2
970561321076658176,aleimitch,60,2
1153408955465355455,Levlr Dev,60,1
858197128685551636,qaves,50,1
301379068941828096,faithie,331,7
1038138572613619793,TwitterFix,20,1
241930933962407936,Discord Bots Verification,80,1
1078636581763686450,streliacopy,914,16
747013139777716294,brokenedtz,70,1
196574963673595904,42,30,1
698346087664058371,flowwithnohoes,30,1
919510602597154856,vs_codder,20,1
710227418492960778,adudu21,30,1
949342410150924319,Majo.exe,94,4
156320970448175104,sr229,194,4
945875674646855772,Koko,10,1
1150471178385883176,Rudi,10,1
1130830910745493626,Stellaris,20,1
716390085896962058,Pokétwo,60,1
1149053834447044729,Nay,10,1
1150562460240183458,Bread Bump,20,1
1151936701963456583,Quick Poll,10,1
1027828697828433980,Arisa,10,1
1132989555037966488,vilan,10,1
1148676468256284863,IRP,10,1
1152188099145773076,Botindom,10,1
1102536034413187152,Athena AI,10,1
11152670427357917225,Sakura,10,1
551077184001933342,guelikt,10,1
768386996091355136,theotiwa,30,1
1121744755936739388,Anime Update,80,2
746781930078601367,Ruby,27,5
1142685240318505010,Translate Bot,137,5
1081926864790106145,kawaiikurumi,50,1
942674412178653184,sorrow,80,1
432610292342587392,Mudae,10,2
240254129333731328,Vortex,60,1
839952893482369044,Pandora,0,1
828025172556382275,AristaBot,10,1
836046416572055553,Adyra,10,1
995000644660383764,madhav_1111,40,1
929742763036123138,Champ,60,1
1065839385624449044,pitothefive,10,1
851588007697580033,.nyr.,124,4
160105994217586689,Miki,50,1
647269760782041133,espimarisa,106,3
963839563405619210,greek_ghost,110,1
844757192313536522,annoybot,10,1
1093157226165837884,Jackbot,10,1
1111048332614311997,Cypher,10,1
1113260564651704344,Biber,10,1
1146534646184677507,Faisca,20,1
1151056474336940112,Yaya,20,1
1150564974138232872,Kaplumba,10,1
1131388328403546164,FurryVerse Bot,10,1
1141777635786104923,CharacterWeaver,10,1
1010046809340641402,Sister Currency,10,1
722142096374628404,Sea of Tales,10,1
1104042908010680461,ChatGPT Waifu,10,1
770241052556525610,Magic Bot,10,1
909029423225897010,Keck,10,1
933790214101532782,Aphrodisia,10,1
944273641946886235,SonBot,10,1
1117912749146656790,douxx.exe,136,3
1036414243790147664,frog_of_2011,10,1
946514911113142342,Aurora,40,1
172002275412279296,Tatsu,50,1
1067432638425612388,Penny,10,1
1049314312776335390,HamBot,10,1
429457053791158281,Nekotina,10,1
451379187031343104,LunaBot 🌙,60,1
989440183428599849,Isekaid,80,2
159985870458322944,MEE6,20,1
338897906524225538,pawa,10,1
810540985032900648,Musico,10,1
944016826751389717,Lara✨,10,1
458302301187342336,ghosty,10,1
1153098597542400051,A$troTools,10,2
557628352828014614,Ticket Tool,40,1
976755599691878400,flexifriztche,73,8
745758762115137657,Caneria,151,7
408785106942164992,OwO,423,8
1009529762164781078,amer6738,149,10
689766089567109158,ErensiBOT,147,12
902123369829388309,cross_firex,247,14
421671803740749835,lightning1412,736,17
699127590144704512,mowarch._,250,11
459745827582246912,alonesky_,1216,17
1123636786279751731,freezoffical,20,1
1130140761858519223,emiroyunda21340,214,16
1073819368191959040,davickstwo1078,60,1
1104512706800791563,t_icnez_,159,6
1082268822746185758,1sma1l0999,203,8
1132959650434777089,solitaire02,10,2
896568176710676490,ist01ey0subs,50,1
96269247411400704,lewisakura,187,5
493100331308285982,omori_1613,796,13
326369659832107010,rereyy,0,2
1075744724805226496,yusufatabey,367,12
210363111729790977,DuncteBot,30,1
796949928303788053,xcalius_17,20,1
699168333446119504,marshal_.,60,2
280402967411163138,booridjr,40,1
967347947790532638,wortex_7555,60,1
472911936951156740,VoiceMaster,60,1
670398653227204640,screamingcreeper,90,1
508968886998269962,RoWifi,6,3
426537812993638400,Bloxlink,110,1
932231325497298984,wozieberat,30,1
817324653529530419,xxsupermansefa_00,136,3
711594573922828329,civilcivilcivciv,10,1
1009065836050382870,ek7673,264,9
581891458802384900,blapenhajmer,10,1
1134870698544869458,werzy_0,10,1
1068598532086448168,sadecebirturk,403,8
860549250450718742,slimi2,30,1
1155581236702617650,Arcane,10,1
1155581427669287062,ek7673,10,1
1155581628547088465,ek7673,10,1
1155581985285210193,ek7673,10,1
531678531911024670,iriskiq9,20,1
1134826326386282567,merhaba0222,79,6
1150047965860352000,yuzey.kara,50,1
1087985736533409862,GitHub,18679,29
852572302590607361,loydosborne,343,8
839079536452829184,moony6877,46,3
886479680281149491,doggielicc,16,3
429315263717179415,ziad87,354,9
497154010281934878,f_14_tomcat,80,1
1155307483150176266,lucielle.m,10,1
190916650143318016,advaith,80,1
214175043846930432,broman.dev,60,2
1065269989940150395,pedrohxz,10,1
691737291953012797,polke.admin,70,1
524371727812263948,gideon_foxo,40,2
780937724001517608,_0x90,10,1
312145496179474434,solelychloe,29,6
214463059601784833,stupid cat,80,2
885193210455011369,hunter87ff,50,2
931202912888164474,Spruce,90,2
401549924199694338,SafetyAtLast™,80,1
584213384409382953,YEE式機器龍,100,1
847144338240569376,ZiBO,100,2
309878089746219008,Canti,20,2
883974139059261490,Marvin,80,1
555820515965534208,Krypto,80,1
689275925573271590,Cardboard Box,60,1
1086281889716912259,itsprim,80,1
1109237449311399997,batuhan95.,20,1
287499327063195648,hqmo,70,2
315797599758057484,anis.biz,10,1
190544080164487168,system.runtime.interopservices,70,1
928361369651265536,malix.gay,50,1
571027211407196161,AniGame,90,1
513374445121830933,fountaikkj,10,1
1127390852218630214,ShinesBot,10,1
1124688116268138547,Preo,20,1
540349742178107409,Sx Live,20,1
1147999772293202081,EricBot,20,1
714416218756350012,roufiktis_psolis,154,4
134133271750639616,blargbot,40,1
663765323501273108,theonlypilot,46,3
1100810176497459304,enver6552,14,9
219067402174988290,alula,184,4
667753369858736148,mohadev69,10,1
718361809257627720,shhirroh,10,1
1132525680555470978,boo011,20,1
868832984172724285,mrquartz,80,1
879675341763915827,umut0179,10,1
1155847862819766352,insertagoodnamehere.,30,1
692045914436796436,Truth or Dare,30,1
846759144898822174,daryldixonfromtwd,10,1
181353804266995713,oxylibrium,10,1
1071172494821703810,cinar2647,10,2
1084129454634323980,kedi13i3,80,1
336238440536342528,iaintw.,30,1
564426594144354315,Suggester,40,1
831231000507318312,GlobalX,40,1
356268235697553409,.fmbot,60,1
298827078013288450,Accord,40,1
683053587215024213,Gradient,40,1
688256825069666395,Aspireʀʙx,20,1
952100568615227412,Lovely,70,1
681137419663441933,Nors,80,1
805150455378345994,Ducky,40,1
728332591790293044,OFFlimits,40,1
883474362416635975,BD Security remake,50,1
1069983815310778421,Noisy,50,1
1131716663629332530,mixy,100,1
862189630992547911,Pokéarena,60,1
1099955820147519578,Transcendence,70,1
173471643895595008,Boat,20,1
1045411656739606668,vadriaan._.,70,1
209769851651227648,smol_skyz,50,1
912362420096344124,_arava_,60,1
85614143951892480,UB3R-B0T,30,1
481068576363773972,itzwebster,0,2
525137840980361226,pixieprize,70,1
550786131336232961,Persephone,100,1
320703328730349578,Bender,80,1
774732068282171424,002,110,1
183758147029041153,wodiw,80,1
411887008160415766,init2,110,1
650807432712421386,gawixek,10,1
151916651988647936,pikadude,67,5
892454292924014592,Thor,50,1
1155068128519266474,toprak8778,50,1
199417447424458762,bulletmemes,20,1
995152223245975632,веселый прикол,110,1
983405463959916555,Shrimp,10,1
336492042299637771,caramel64,20,1
1031968986591674439,nui.beeva,10,1
265162449441783808,beepBot,10,1
600834965571371037,Sambabe,20,1
858432383345885195,u612,10,1
680994218977787927,Mr.Golu,30,1
1053363102017662976,mushroom0162,0,2
194713725029187585,yasuka286,10,1
1117042152065732608,boygivememoney,10,1
1147824940066799666,Attick,10,1
490039330388180992,Marpel,156,3
758704185968427059,riotly,40,1
155651120344203265,allytally,20,1
581146486646243339,devtomatocake,70,1
885590132613341194,rambizz.,69,6
400460072649621524,jonathonreed,19,10
1040335106444906627,Discord Developers #developer-news,10,1
1136174616516239402,MINECRAFT #bedrock-changelogs,40,1
869789372969537556,Discord Developers #discord-api-announcements,20,1
768949752489967667,Tags,10,1
417681827667640320,fadedhipster,6,3
582004605303521286,sweetmemaria,14,4
1093611002437832925,poley4143,10,2
1121917496300163073,Questo,20,1
941841810790174772,mastertago,46,3
877202123346038785,jukutpremium,30,1
543442623957041152,Sirius,10,1
417229971061473290,Stalwartle,10,1
1120631409619509320,Spatch™,10,1
755478865454956604,0.ptr,140,2
435818014752112650,itzzflare,10,1
936875191580102666,Moosic,50,1
153353572711530496,craftxbox,70,2
1014204798561697882,sushipeoples,69,6
886365932916731944,armed_goose,717,12
1122572601638797452,Atomyx,80,1
1136174690159824956,MINECRAFT #english,30,1
838719106239823882,1814sam,20,1
954695799411974165,GiveawayBot™,80,1
210805198002585600,jagbot,20,1
967103564642136124,duluper,130,2
620307267241377793,Gamebot,10,1
916372883087974440,Melpo Verifier,10,1
1056576545428344912,Influx Bible,20,1
1108679074655764542,Duyre.ryy,60,1
80528701850124288,R. Danny,20,1
935044047104512010,pebsi0362,10,1
613694998524985354,Edward,30,1
801027359087001631,Shibe,30,1
1146975902262112287,Addie,30,1
804118603397726260,aSoc Chat,30,1
526543913788637204,Bowling Ball,30,1
740158040615157791,ClanButlerLegend,30,1
624955196040282123,Hanni 🐰,30,1
847972974786248704,LabyCheck,30,1
1143861352453124149,StarBot,30,1
948637316145102868,Orator,30,1
752528726163456060,AI,30,1
733376773089132626,Ghosty,20,1
134073775925886976,MathBot,30,1
662912619975278592,andriemc,30,1
741123599913582623,okku007,10,1
282859044593598464,ProBot ✨,50,1
1012305771997954049,_vodkagod,20,1
987352145693130795,nesandinbenimaymunmu,10,1
796120497468866630,Ghost Ping Detector,40,1
699522828147490826,Anti Ghost Ping,10,1
908418162687619133,Asuka,30,1
706865701373345813,Noodles,20,1
360404222908432384,Anti-Bully Bot,10,1
1131671144563474582,MargoAlert,20,1
900973551014801470,aduritade,10,1
907557037611835402,JOKER609h,50,1
793127529144778762,peacedout,10,1
1155928675989073961,filmwithseer,50,1
601836455006044163,mugman174,10,1
655443377160060938,jiezlvchua,20,1
480633657086836736,eeemoon,30,1
1144343369691189288,maxi0817,110,1
657542394576764938,electrify.3,40,1
1122413326174003290,Flame,20,1
353642673573199902,swonts,40,1
303703177495314442,blistix,50,1
847382751433850900,floynn,10,1
1154150676327309392,ritsu_official01,30,1
465412552185217025,senpaiyaa,30,1
730634576321314867,ricky.dev,10,1
414114974860836864,grandi.,40,1
704874746352893952,Ravena,40,1
451460034686091265,amtix,40,1
1102901340696477757,alsantre,20,1
338126833595973633,bsr_02,10,1
1144591392761466880,cihazx.,514,9
294544470953689088,jaylon,80,1
655313481251160103,thepirate1361,20,1
944486532696399893,cab1e_,10,1
1156898426278117397,lightning1412,10,1
1139271879224467538,batu34673,450,1
733750321997807757,hnc.,10,1
1036416037857525900,GiveawayBot.,20,1
931226824753700934,Aeona,30,1
1084913108323151912,justus.de,80,1
788681862536495124,Sandwich,20,1
719806770133991434,EpicFreeGames,20,1
552268901409488917,hppedeaf,40,1
170915625722576896,DRPG,10,1
1136174829024854066,MINECRAFT DUNGEONS #game-announcements,10,1
1112826902873387058,kwzey052,40,2
961309316843974807,ur.fav.kawaii,10,1
667183124098318346,KT | Seyit,30,1
1070742537721094215,xsz_y,100,1
679305283352264725,bnuuuuuuuuuuuuuuuuuuuuuuuuuuuuuy,10,1
650376855542693914,apioz,50,1
639607732202110977,Robo Coder,20,1
438978127973318656,Restarter,10,1
227646650129055748,Rutrabot,10,1
1124298616664752218,Gaming Verse,10,1
852720585649684511,fssamuelbs,20,1
705576133319458817,palezx,10,1
966590606665211905,NEON,10,1
720351927581278219,Invite Tracker,20,1
598151504867753996,_kamiya,20,1
713423827232882769,lilmistake.,20,1
506833784151343104,not.quackle.crumpet,70,1
322808739096690691,th3shiz,40,1
912083325273915402,affenwunder,10,1
236662400420544513,apolliyan,10,1
511173424522199070,Aleeva,20,1
866364881917837312,Blacklister,20,1
1152898081306726471,music,10,1
795018151758397480,GamerCards,30,1
787162619504492554,cafeBot,10,1
899732296414941206,Pornbot,100,1
103347843934212096,stupidcat,86,3
343383572805058560,vending.machine,6,3
959521575672086568,inout0444,207,5
292953664492929025,UnbelievaBoat,70,1
973736581280182322,walid1823,10,1
1049332185980751976,ZoYo,10,1
788425548384174160,rnilaweera,10,1
689466766916714532,geantworld,20,1
